,class_label,prod_acc,user_acc
0,NoData,0.99916489296,0.999976320626
1,back reef - pavement,0.744703635848,0.620721176078
2,back reef - rubble dominated,0.619151355221,0.666746274793
3,back reef - sediment dominated,0.911852604091,0.760198836492
4,back reef coral framework,0.792943361188,0.887044230315
5,Beach,0.926334881945,0.766381466368
6,Clouds,0.977810797424,0.780933544304
7,coralline algal ridge (reef crest),0.876621042444,0.664535602742
8,deep fore reef slope,0.689983463044,0.501367965838
9,deep lagoonal water,0.760629017838,0.984655877977
10,deep ocean water,0.956918753576,0.783322364472
11,dense seagrass meadows,0.797603195739,0.168029804953
12,fore reef sand flats,0.875379627049,0.521093978576
13,Inland waters,1.0,0.591279543602
14,lagoonal floor - barren,0.63763740319,0.353024375892
15,lagoonal fringing reefs,0.631797204993,0.613949846869
16,lagoonal patch reefs,0.492153192239,0.253843340293
17,lagoonal sediment apron - sediment dominated,0.790356336018,0.751797920938
18,mangroves,0.869343815607,0.805363017525
19,Rocky beach,0.952688172043,0.596198059777
20,shallow fore reef slope,0.687873271763,0.82135258911
21,shallow fore reef terrace,0.892593230819,0.745027201272
22,terrestrial vegetation,0.832822343233,0.966430954678
23,Wetlands,0.983067781459,0.683521626266
